어필,appeal
업로드,upload
에고이즘,egoism
에나멜,enamel
에너지,energy
에러,error
에로스,Eros
에로티시즘,eroticism
에세이,essay
에스오에스,SOS
에스컬레이터,escalator
에스코트,escort
에스파냐,Espaa
에어로빅,aerobic
에어백,air bag
에어컨,air conditioner
에어컨디셔너,air conditioner
에이스,ace
에이즈,AIDS
에이커,acre
에콰도르,Ecuador
에티오피아,Ethiopia
에티켓,tiquette
에피소드,episode
엑스레이,Xray
엑스트라,extra
엑스포,Expo
엔,en
엔도르핀,endorphin
엔지,NG
엔지니어,engineer
엔지니어링,engineering
엔진,engine
엔트리,entry
엘리베이터,elevator
엘리트,lite
엘살바도르,El Salvador
엠시,MC
엠티,MT
예멘,Yemen
예수,Jesus
옐로카드,yellow card
오더,order
오뎅,oden
오디션,audition
오디오,audio
오랑우탄,orangutan
오렌지,orange
오로라,aurora
오르간,organ
오리엔테이션,orientation
오리지널,original
오므라이스,omelet rice
오믈렛,omelet
오보에,oboe
오븐,oven
오세아니아,Oceania
오스트레일리아,Australia
오스트리아,Austria
오아시스,oasis
오존,ozone
오케스트라,orchestra
오크,oak
오토바이,auto bicycle
오퍼,offer
오페라,opera
오프라인,off-line
오피스텔,office hotel
옥타브,octave
온라인,on-line
온스,ounce
올드미스,old miss
올리브,olive
올림픽,Olympics
옵션,option
와사비,wasabi
와이셔츠,white shirt
와이어,wire
와이퍼,wiper
와인,wine
와트,watt
왁스,wax
왈츠,waltz
요가,yoga
요구르트,yogurt
요르단,Jordan
요요,yoyo
요트,yacht
우간다,Uganda
우동,udon
우라늄,uranium
우루과이,Uruguay
우즈베키스탄,Uzbekistan
우크라이나,Ukraine
울,wool
워크숍,workshop
원룸,one-room
원피스,one-piece
월드컵,World Cup
웨딩드레스,wedding dress
웨이터,waiter
웹,web
위스키,whiskey
위트,wit
윙크,wink
유니버시아드,Universiade
유니콘,unicorn
유니폼,uniform
유럽,Europe
유로,Euro
유머,humor
유스 호스텔,youth hostel
유에프오,UFO
유엔,UN
유턴,U-turn
유토피아,Utopia
이구아나,iguana
이니셜,initial
이닝,inning
이데아,Idea
이데올로기,Ideologie
이라크,Iraq
이란,Iran
이메일,email
이미지,image
이벤트,event
이브,eve
이슈,issue
이스라엘,Israel
이스트,yeast
이어폰,earphone
이온,ion
이집트,Egypt
이탈리아,Italia
인도네시아,Indonesia
인센티브,incentive
인슐린,insulin
인스턴트,instant
인치,inch
인터넷,internet
인터뷰,interview
인터체인지,interchange
인터폰,interphone
인턴,intern
인테리어,interior
인플레,inflation
인플레이션,inflation
인플루엔자,influenza
일러스트레이션,illustration
잉꼬,inko
잉크,ink
자메이카,Jamaica
자몽,zamboa
자장면,zhajiangmian
잠바,jumper
잠비아,Zambia
장르,genre
재즈,jazz
재킷,jacket
잼,jam
저널리스트,journalist
저널리즘,journalism
점퍼,jumper
점프,jump
정글,jungle
제로,zero
제스처,gesture
젤라틴,gelatin
젤리,jelly
조깅,jogging
조끼,chokki
조크,joke
주스,juice
지그재그,zigzag
지단,jidan
지로,giro
지퍼,zipper
지프,jeep
집시,Gypsy
징크스,jinx
짜장면,zhajiangmian
짬뽕,champon
찌찌,chichi
차트,chart
채널,channel
채팅,chatting
채플,chapel
챔피언,champion
체스,chess
체인,chain
체코,Czech
체크,check
체크아웃,check-out
체크인,check-in
체크 카드,check card
첼로,cello
첼리스트,cellist
초콜릿,chocolate
치즈,cheese
치킨,chicken
치타,cheetah
칠레,Chile
침팬지,chimpanzee
칩,chip
카나리아,canaria
카네이션,carnation
카누,canoe
카드,card
카디건,cardigan
카레,curry
카레라이스,curried rice
카리스마,charisma
카메라,camera
카메라맨,cameraman
카메룬,Cameroon
카멜레온,chameleon
카세트,cassette
카세트테이프,cassette tape
카우보이,cowboy
카운슬러,counselor
카운슬링,counseling
카운터,counter
카자흐스탄,Kazakhstan
카타르,Qatar
카탈로그,catalog
카투사,KATUSA
카페,caf
카페인,caffeine
카펫,carpet
카폰,car phone
카피,copy
칵테일,cocktail
칼라,collar
칼럼,column
칼럼니스트,columnist
칼로리,calorie
칼슘,calcium
캄보디아,Cambodia
캐나다,Canada
캐러멜,caramel
캐럴,carol
캐럿,carat
캐릭터,character
캐미솔,camisole
캐비닛,cabinet
캐스터,caster
캐스터네츠,castanets
캐스팅,casting
캔,can
캔디,candy
캔버스,canvas
캘린더,calendar
캠퍼스,campus
캠페인,campaign
캠프,camp
캠프파이어,campfire
캠핑,camping
캡,cap
캡슐,capsule
캥거루,kangaroo
커닝,cunning
커리큘럼,curriculum
커뮤니케이션,communication
커미션,commission
커버,cover
커브,curve
커서,cursor
커트,cut
커튼,curtain
커플,couple
커피,coffee
커피숍,coffee shop
커피포트,coffeepot
컨디션,condition
컨소시엄,consortium
컨테이너,container
컨트롤,control
컬러,color
컴퍼스,compass
컴퓨터,computer
컴퓨터 게임,computer game
컵,cup
컷,cut
케냐,Kenya
케이블,cable
케이블카,cable car
케이스,case
케이에스,KS
케이크,cake
케첩,ketchup
코너,corner
코드,code
코디네이터,coordinator
코란,Koran
코러스,chorus
코르덴,corded velveteen
코르크,cork
코미디,comedy
코미디언,comedian
코브라,cobra
코스,course
코스모스,cosmos
코알라,koala
코치,coach
코카인,cocaine
코코넛,coconut
코코아,cocoa
코트,coat
코팅,coating
콘도,condo
콘도미니엄,condominium
콘돔,condom
콘서트,concert
콘센트,concentric plug
콘크리트,concrete
콘택트렌즈,contact lens
콘테스트,contest
콘트라베이스,contrabass
콜걸,call girl
콜드크림,cold cream
콜라,cola
콜레라,cholera
콜레스테롤,cholesterol
콜롬비아,Colombia
콜택시,call taxi
콤비,combination
콤팩트,compact
콤팩트디스크,compact disk
콤플렉스,complex
쿠바,Cuba
쿠션,cushion
쿠웨이트,Kuwait
쿠키,cookie
쿠폰,coupon
쿼터,quota
퀴즈,quiz
큐레이터,curator
큐피드,Cupid
크래커,cracker
크레디트 카드,credit card
크레인,crane
크로아티아,Croatia
크리스마스,Christmas
크리스마스이브,Christmas Eve
크리스마스 캐럴,Christmas carol
크리스마스트리,Christmas tree
크리스천,Christian
크림,cream
클라리넷,clarinet
클래식,classic
클러치,clutch
클럽,club
클로렐라,chlorella
클로버,clover
클로즈업,close-up
클릭,click
클립,clip
키,key
키보드,keyboard
키스,kiss
키위,kiwi
킬로,kilo
킬로그램,kilogram
킬로미터,kilometer
킬로바이트,kilobyte
킬로와트,kilowatt
타블로이드,tabloid
타워,tower
타월,towel
타이,Thailand
타이밍,timing
타이어,tire
타이완,Taiwan
타이츠,tights
타이틀,title
타이핑,typing
타일,tile
타임,time
타임머신,time machine
타임아웃,time-out
타임캡슐,time capsule
타입,type
탄자니아,Tanzania
태클,tackle
택시,taxi
탤런트,talent
탬버린,tambourine
탱고,tango
탱크,tank
터널,tunnel
터미널,terminal
터부,taboo
터치,touch
터치아웃,touch out
터키,Turkey
턱시도,tuxedo
테너,tenor
테니스,tennis
테라스,terrace
테러,terror
테러리스트,terrorist
테러리즘,terrorism
테스트,test
테이블스푼,tablespoon
테이프,tape
테크닉,technic
텍스트,text
텐트,tent
텔레뱅킹,telebanking
텔레비전,television
텔레파시,telepathy
토너먼트,tournament
토마토,tomato
토마토케첩,tomato ketchup
토스,toss
토스터,toaster
토스트,toast
토큰,token
토테미즘,totemism
토템,totem
토플,TOEFL
토픽,topic
토핑,topping
톤,tone
톨게이트,tollgate
톱,top
투피스,two-piece
튀니지,Tunisie
튀르키예,Trkiye
튜바,tuba
튜브,tube
튤립,tulip
트라이앵글,triangle
트랙,track
트랜스,transformer
트랩,trap
트럭,truck
트럼펫,trumpet
트럼프,trump
트렁크,trunk
트레이닝,training
트레이드,trade
트레일러,trailer
트렌치코트,trench coat
트로트,trot
트로피,trophy
트롬본,trombone
트리오,trio
티,T
티베트,Tibet
티브이,TV
티셔츠,T-shirt
티스푼,teaspoon
티켓,ticket
팀,team
팀워크,teamwork
팁,tip
파,fa
파노라마,panorama
파라과이,Paraguay
파라다이스,paradise
파마,permanent
파스텔,pastel
파슬리,parsley
파시스트,fascist
파시즘,fascism
파우더,powder
파운데이션,foundation
파운드,pound
파울,foul
파워,power
파이,pie
파이팅,fighting
파이프,pipe
파이프 오르간,pipe organ
파인애플,pineapple
파일,file
파일럿,pilot
파자마,pajamas
파카,parka
파키스탄,Pakistan
파트,part
파트너,partner
파트타임,part time
파티,party
파티션,partition
파푸아 뉴기니,Papua New Guinea
파피루스,papyrus
판다,panda
팝,pop
팝송,pop song
팝콘,popcorn
패널,panel
패드,pad
패러다임,paradigm
패러독스,paradox
패션,fashion
패션쇼,fashion show
패스,pass
패스트푸드,fast food
패스포트,passport
패키지,package
패킹,packing
패턴,pattern
팩,pack
팩스,fax
팩시밀리,facsimile
팬,fan
팬지,pansy
팬츠,pants
팬케이크,pancake
팬터마임,pantomime
팬티,panties
팬티스타킹,panty stocking
팸플릿,pamphlet
퍼레이드,parade
퍼센트,percent
퍼즐,puzzle
펀드,fund
펀치,punch
펌프,pump
펑크,puncture
페달,pedal
페루,Peru
페미니스트,feminist
페미니즘,feminism
페스트,pest
페스티벌,festival
페이지,page
페인트,paint
페티코트,petticoat
펜,pen
펜던트,pendant
펜션,pension
펜싱,fencing
펜치,pincers
펜팔,pen pal
펭귄,penguin
포르노,pornography
포르투갈,Portugal
포볼,four ball
포스터,poster
포인트,point
포크,fork
포크커틀릿,pork cutlet
포클레인,Poclain
폰뱅킹,phone banking
폴더,folder
폴란드,Poland
폼,form
푸에르토리코,Puerto Rico
풀,pool
퓨전,fusion
퓨즈,fuse
프라이,fry
프라이드,pride
프라이드치킨,fried chicken
프라이버시,privacy
프라이팬,frypan
프랑스,France
프런트,front
프렌치토스트,French toast
프렌치프라이,French fry
프로,professional
프로그래머,programmer
프로그래밍,programming
프로그램,program
프로덕션,production
프로듀서,producer
프로세서,processor
프로젝트,project
프로판,propane
프로펠러,propeller
프로필,profile
프리랜서,free-lancer
프리미엄,premium
프리즘,prism
프린터,printer
프린트,print
플라스틱,plastic
플라타너스,platanus
플랑크톤,plankton
플래시,flash
플래카드,placard
플랫폼,platform
플러그,plug
플러스,plus
플레이,play
플로피 디스크,floppy disk
플롯,plot
플루트,flute
피겨 스케이팅,figure skating
피드백,feedback
피디,PD
피라미드,pyramid
피스톤,piston
피시,PC
피아노,piano
피아니스트,pianist
피엑스,PX
피자,pizza
피지,Fiji
피칭,pitching
피켓,picket
피크,peak
피클,pickle
피트,feet
픽션,fiction
핀,pin
핀란드,Finland
핀셋,pincette
핀트,pinto
필드,field
필드하키,field hockey
필로폰,Philopon
필름,film
필리핀,Philippines
필터,filter
핑크,pink
하드 디스크,hard disk
하드웨어,hardware
하모니,harmony
하모니카,harmonica
하이라이트,highlight
하이에나,hyena
하이킹,hiking
하이테크,hightech
하이픈,hyphen
하이힐,high heeled shoes
하키,hockey
하프,harp
핫도그,hot dog
핫팬츠,hot pants
해머,hammer
해커,hacker
해킹,hacking
해프닝,happening
핸드백,handbag
핸드볼,handball
핸드 브레이크,hand brake
핸드폰,hand phone
핸들,handle
핸디캡,handicap
햄,ham
햄버거,hamburger
행글라이더,hang-glider
허들,hurdle
헝가리,Hungary
헤드라이트,headlight
헤드폰,headphone
헤딩,heading
헤르츠,Hertz
헤어드라이어,hair drier
헤어스타일,hairstyle
헬리콥터,helicopter
헬멧,helmet
헬스 센터,health center
헬스클럽,health club
호르몬,hormone
호모,homo
호스,hose
호스티스,hostess
호스피스,hospice
호텔,hotel
홀,hall
홈,home
홈드레스,home dress
홈런,home run
홈뱅킹,home banking
홈 쇼핑,home shopping
홈페이지,homepage
홉,hop
홍콩,Hong Kong
화이트보드,white board
화이트칼라,white-collar
후라이판,fry-pan
훌라후프,HulaHoop
휠체어,wheelchair
휴머니스트,humanist
휴머니즘,humanism
히터,heater
히트,hit
히프,hip
힌트,hint
힙합,hiphop
가나,Ghana
가드,guard
가드레일,guard-rail
가봉,Gabon
가솔린,gasoline
가스,gas
가스레인지,gas range
가스보일러,gas boiler
가십,gossip
가운,gown
가이드,guide
가이드라인,guide-line
가톨릭,Catholic
개그,gag
개그맨,gagman
개그우먼,gagwoman
개런티,guarantee
갤러리,gallery
갤런,gallon
갭,gap
갱,gang
거들,girdle
거즈,gauze
게릴라,guerilla
게스트,guest
게이머,gamer
게이지,gauge
게이트,gate
게이트볼,gate ball
게임,game
고딕,Gothic
고릴라,gorilla
고스톱,go stop
골,goal
골인,goal in
골키퍼,goalkeeper
골퍼,golfer
골프,golf
과테말라,Guatemala
굴러오다,
그라운드,ground
그래프,graph
그래픽,graphic
그램,gram
그룹,group
그리스,Greece
그린벨트,greenbelt
그릴,grill
글라스,glass
글라이더,glider
글래머,glamour girl
글러브,glove
기가,giga
기가바이트,gigabyte
기어,gear
기타,guitar
깐풍기,ganpengji
껌,gum
나이지리아,Nigeria
나이트,night
나이트가운,nightgown
나이트클럽,nightclub
나이프,knife
나일론,nylon
나프탈렌,naphthalene
난센스,nonsense
냅킨,napkin
너트,nut
넘버,number
네덜란드,Netherlands
네온,neon
네온사인,neon sign
네트,net
네트워크,network
네티즌,netizen
네팔,Nepal
넥타이,necktie
넥타이핀,necktie pin
노가다,dokata
노르웨이,Norway
노스탤지어,nostalgia
노크,knock
노타이,no tie
노트,note
노트북,notebook
노트북 컴퓨터,notebook computer
노하우,knowhow
논스톱,nonstop
논픽션,nonfiction
누드,nude
뉴스,news
뉴질랜드,New Zealand
니켈,nickel
니코틴,nicotine
니트,knit
다운,down
다운로드,download
다이너마이트,dynamite
다이빙,diving
다이아,diamond
다이아몬드,diamond
다이어리,diary
다이어트,diet
다이얼,dial
다큐멘터리,documentary
다크호스,dark horse
달러,dollar
대시,dash
댄서,dancer
댄스,dance
댐,dam
더블,double
더블 베이스,double bass
더빙,dubbing
더치페이,Dutch pay
덤프트럭,dump truck
덤핑,dumping
덩크 슛,dunk shoot
데모,demo
데뷔,dbut
데생,dessin
데스크,desk
데스크톱,desktop
데스크톱 컴퓨터,desktop computer
데시리터,deciliter
데시벨,decibel
데이터,data
데이터베이스,database
데이트,date
덴마크,Denmark
도,do
도그마,dogma
도넛,doughnut
도메인,domain
돈가스,tonkasu
돔,dome
듀엣,duet
드라마,drama
드라이,dry
드라이버,driver
드라이브,drive
드라이어,drier
드라이클리닝,dry cleaning
드라큘라,Dracula
드럼,drum
드레스,dress
드릴,drill
드링크,drink
디브이디,DVD
디스켓,diskette
디스코,disco
디스크,disk
디스크 드라이브,disk drive
디스플레이,display
디엔에이,DNA
디자이너,designer
디자인,design
디저트,dessert
디지털,digital
디지털카메라,digital camera
딜러,dealer
딜레마,dilemma
라,la
라디오,radio
라면,rmen
라오스,Laos
라운드,round
라운지,lounge
라이벌,rival
라이브,live
라이터,lighter
라이트,light
라인,line
라조기,laziji
라켓,racket
랑데부,rendez-vous
램프,lamp
랩톱 컴퓨터,laptop computer
랭킹,ranking
러닝셔츠,running shirt
러브호텔,love hotel
러시아,Russia
러시아워,rush hour
럭비,Rugby
럭비 풋볼,Rugby football
레,re
레깅스,leggings
레드카드,red card
레모네이드,lemonade
레몬,lemon
레미콘,remicon
레바논,Lebanon
레벨,level
레스토랑,restaurant
레슨,lesson
레슬링,wrestling
레이다,radar
레이더,radar
레이스,lace
레이저,laser
레인,lane
레인지,range
레일,rail
레임덕,lame duck
레저,leisure
레지던트,resident
레지스탕스,ristance
레코드,record
레크리에이션,recreation
레퍼토리,repertory
렌즈,lens
렌터카,rent-a-car
로그아웃,log-out
로그인,log-in
로맨스,romance
로보트,robot
로봇,robot
로비,lobby
로션,lotion
로열티,royalty
로켓,rocket
로터리,rotary
로프,rope
롤러,roller
롤러스케이트,roller skate
루마니아,Romania
루머,rumor
루비,ruby
루주,rouge
루트,route
룩셈부르크,Luxemburg
류머티즘,rheumatism
르완다,Rwanda
르포,reportage
리그,league
리더,leader
리더십,leadership
리드,lead
리듬,rhythm
리메이크,remake
리모컨,remote control
리무진,limousine
리바운드,rebound
리바이벌,revival
리본,ribbon
리비아,Libya
리사이틀,recital
리셉션,reception
리스,lease
리스트,list
리시브,receive
리어카,rear car
리얼리즘,realism
리코더,recorder
리콜,recall
리터,liter
리포터,reporter
리포트,report
리프트,lift
리허설,rehearsal
린스,rinse
린치,lynch
릴레이,relay
림프,lymph
립글로스,lip-gloss
립스틱,lipstick
링,ring
링거,Ringer
링크,link
마가린,margarine
마그마,magma
마네킹,mannequin
마니아,mania
마담,madame
마도로스,matroos
마라톤,marathon
마사지,massage
마스카라,mascara
마스코트,mascot
마스크,mask
마요네즈,mayonnaise
마우스,mouse
마운드,mound
마이너스,minus
마이신,mycin
마이크,mike
마일,mile
마일리지,mileage
마진,margin
마카로니,macaroni
마케팅,marketing
마크,mark
마트,mart
마피아,Mafia
마호메트,Mahomet
마후라,mahur
만돌린,mandolin
말라리아,malaria
말레이시아,Malaysia
맘모스,mammoth
망고,mango
망토,manteau
매너,manner
매너리즘,mannerism
매니저,manager
매니큐어,manicure
매머드,mammoth
매스컴,mass communication
매직펜,magic pen
매치,match
매트,mat
매트리스,mattress
맨션,mansion
머스터드,mustard
머플러,muffler
머핀,muffin
멀티미디어,multimedia
메가,mega
메가바이트,megabyte
메가헤르츠,megahertz
메뉴,menu
메달,medal
메달리스트,medalist
메모,memo
메모리,memory
메스,mes
메시아,Messiah
메시지,message
메신저,messenger
메이커,maker
메일,mail
메조소프라노,mezzo-soprano
메커니즘,mechanism
메트로놈,metronome
멕시코,Mexico
멜라닌,melanin
멜로드라마,melodrama
멜로디,melody
멜로디언,melodion
멜론,melon
멤버,member
모나코,Monaco
모노드라마,monodrama
모니터,monitor
모닝커피,morning coffee
모닝콜,morning call
모더니스트,modernist
모더니즘,modernism
모델,model
모뎀,modem
모드,mode
모로코,Morocco
모르핀,morphine
모빌,mobile
모션,motion
모자이크,mosaic
모잠비크,Mozambique
모터,motor
모터보트,motorboat
모텔,motel
모토,motto
모티브,motive
모티프,motif
몬순,monsoon
몰디브,Maldives
몸뻬,monpe
몽골,Mongolia
몽타주,montage
무드,mood
무스,mousse
뮤지컬,musical
미,mi
미네랄,mineral
미뉴에트,minuet
미니,mini
미니스커트,miniskirt
미니카,minicar
미디어,media
미사일,missile
미스,miss
미스터,mister Mr
미스터리,mystery
미시즈,Mrs
미싱,mishin
미얀마,Myanmar
미터,meter
미팅,meeting
믹서,mixer
밀리,millimeter
밀리그램,milligram
밀리리터,milliliter
밀리미터,millimeter
밀크셰이크,milk shake
밍크,mink
바,bar
바겐세일,bargain sale
바나나,banana
바닐라,vanilla
바레인,Bahrain
바로미터,barometer
바로크,baroque
바리케이드,barricade
바리톤,baritone
바바리,Burberry
바바리코트,Burberry coat
바벨,barbell
바비큐,barbecue
바셀린,vaseline
바순,bassoon
바스켓,basket
바이러스,virus
바이블,bible
바이어,buyer
바이올리니스트,violinist
바이올린,violin
바이트,byte
바인더,binder
바캉스,vacance
바코드,bar code
바텐더,bartender
바통,bton
박스,box
박테리아,bacteria
발라드,ballade
발레,ballet
발레리나,ballerina
발코니,balcony
밧데리,batter
방갈로,bungalow
방글라데시,Bangladesh
배드민턴,badminton
배럴,barrel
배지,badge
배터리,battery
배턴,baton
배트,bat
백,bag
백미러,back mirror
백신,vaccine
밴드,band
밸런타인데이,Valentine Day
밸브,valve
버그,bug
버너,burner
버스,bus
버스 카드,bus card
버저,buzzer
버터,butter
버튼,button
번지 점프,bungee jump
번트,bunt
범퍼,bumper
벙커,bunker
베네수엘라,Venezuela
베니어,veneer
베란다,veranda
베스트셀러,best seller
베이글,bagel
베이비시터,babysitter
베이스,base
베이지,beige
베이컨,bacon
베이킹파우더,baking powder
베일,veil
베테랑,vtran
베트남,Vietnam
벤또,bent
벤처,venture
벤치,bench
벨,bell
벨기에,Belgi
벨벳,velvet
벨트,belt
보너스,bonus
보드카,vodka
보루,bru
보스,boss
보이,boy
보이콧,boycott
보일러,boiler
보트,boat
복싱,boxing
본드,bond
볼,ball
볼레로,bolero
볼륨,volume
볼리비아,Bolivia
볼링,bowling
볼트,bolt
볼펜,ball pen
봅슬레이,bobsleigh
부르주아,bourgeois
부메랑,boomerang
부츠,boots
부케,bouquet
부탄,Bhutan
부탄가스,butane gas
불가리아,Bulgaria
불도그,bulldog
불도저,bulldozer
붐,boom
뷔페,buffet
브라질,Brazil
브랜드,brand
브레이크,brake
브로치,brooch
브리핑,briefing
블라우스,blouse
블로그,blog
블루칼라,blue-collar
비닐,vinyl
비데,bidet
비디오,video
비스킷,biscuit
비올라,viola
비자,visa
비전,vision
비즈니스,business
비커,beaker
비키니,bikini
비타민,vitamin
비프스테이크,beef-steak
빌딩,building
빵꾸,panku
삐라,bira
사무라이,samurai
사우나,sauna
사우디아라비아,Saudi Arabia
사이다,cider
사이렌,siren
사이즈,size
사이클,cycle
사이트,site
사인,sign
사인펜,sign pen
사탄,Satan
사파이어,sapphire
산타,Santa Claus
산타클로스,Santa Claus
살롱,salon
살사,salsa
색소폰,saxophone
샌드위치,sandwich
샌들,sandal
샐러드,salad
샐러리맨,salaried man
샘플,sample
샤머니즘,shamanism
샤워,shower
샤프,sharp
샴페인,champagne
샴푸,shampoo
샹들리에,chandelier
샹송,chanson
서브,serve
서비스,service
서치라이트,search-light
서커스,circus
서클,circle
선글라스,sunglass
세네갈,Senegal
세라믹,ceramics
세레나데,serenade
세르비아,Serbia
세미나,seminar
세이프,safe
세일,sale
세일즈맨,salesman
세트,set
섹스,sex
센서,sensor
센스,sense
센터,center
센트,cent
센티,centimeter
센티미터,centimeter
셀러리,celery
셀로판,cellophane
셀프서비스,self-service
셔츠,shirt
셔터,shutter
셔틀버스,shuttle bus
셔틀콕,shuttlecock
소나타,sonata
소다,soda
소말리아,Somalia
소스,sauce
소시지,sausage
소켓,socket
소파,sofa
소프라노,soprano
소프트볼,softball
소프트웨어,software
솔,sol
솔로,solo
쇼,show
쇼비니즘,chauvinism
쇼윈도,show window
쇼크,shock
쇼트 트랙,short track
쇼핑,shopping
쇼핑몰,shopping mall
쇼핑백,shopping bag
쇼핑센터,shopping center
숄더백,shoulder bag
수단,Sudan
수프,soup
슈팅,shooting
슈퍼,supermarket
슈퍼마켓,supermarket
슈퍼맨,superman
슈퍼우먼,superwoman
슛,shoot
스낵,snack
스냅,snap
스노보드,snowboard
스리랑카,Sri Lanka
스릴,thrill
스마일,smile
스모그,smog
스시,sushi
스웨덴,Sweden
스웨터,sweater
스위스,Suisse
스위치,switch
스윙,swing
스카우트,scout
스카치테이프,Scotch tape
스카프,scarf
스캐너,scanner
스캔들,scandal
스커트,skirt
스케이트,skate
스케이트보드,skateboard
스케일,scale
스케일링,scaling
스케줄,schedule
스케치,sketch
스케치북,sketchbook
스코어,score
스쿠버 다이빙,scuba diving
스쿠터,scooter
스쿨버스,school bus
스크랩,scrap
스크랩북,scrapbook
스크럼,scrum
스크린,screen
스키,ski
스킨로션,skin lotion
스타,star
스타디움,stadium
스타일,style
스타킹,stocking
스탠드,stand
스탠드바,stand bar
스탬프,stamp
스테디셀러,steady seller
스테레오,stereo
스테로이드,steroid
스테이크,steak
스테이플러,stapler
스테인리스,stainless
스텝,step
스토리,story
스토브,stove
스튜디오,studio
스튜어드,steward
스튜어디스,stewardess
스트라이커,striker
스트라이크,strike
스트레스,stress
스트레이트,straight
스트레칭,stretching
스트립쇼,strip show
스티로폼,styrofoam
스티커,sticker
스틱,stick
스팀,steam
스파게티,spaghetti
스파이,spy
스파이크,spike
스팸 메일,spam mail
스펀지,sponge
스페어타이어,spare tire
스페인,Spain
스펙트럼,spectrum
스펠링,spelling
스포이트,spuit
스포츠,sports
스포츠맨,sportsman
스포츠 센터,sports center
스포츠카,sports car
스포트라이트,spotlight
스폰서,sponsor
스푼,spoon
스프레이,spray
스프링,spring
스피드,speed
스피커,speaker
스핀,spin
스핑크스,Sphinx
슬라이드,slide
슬라이딩,sliding
슬럼프,slump
슬로건,slogan
슬로바키아,Slovakia
슬로베니아,Slovenia
슬리퍼,slipper
시,si
시가,cigar
시그널,signal
시나리오,scenario
시너,thinner
시디,CD
시디롬,CD-ROM
시디플레이어,CD player
시럽,syrup
시리아,Syria
시리얼,cereal
시리즈,series
시멘트,cement
시소,seesaw
시스템,system
시즌,season
시트,sheet
시트콤,sitcom
시티,CT
신,scene
신데렐라,Cinderella
신드롬,syndrome
실로폰,xylophone
실루엣,silhouette
실리콘,silicon
실크,silk
심포니,symphony
심포지엄,symposium
싱가포르,Singapore
싱글,single
아나운서,announcer
아날로그,analogue
아랍 에미리트,Arab Emirates
아로마,aroma
아르바이트,Arbeit
아르헨티나,Argentina
아리아,aria
아마추어,amateur
아메바,amoeba
아멘,amen
아몬드,almond
아세톤,acetone
아스팔트,asphalt
아스피린,aspirin
아시아,Asia
아웃,out
아웃사이더,outsider
아이디,ID
아이디어,idea
아이러니,irony
아이보리,ivory
아이섀도,eye shadow
아이스박스,icebox
아이스커피,ice coffee
아이스케이크,ice cake
아이스크림,ice cream
아이스티,ice tea
아이스하키,ice hockey
아이슬란드,Iceland
아이콘,icon
아이큐,IQ
아일랜드,Ireland
아지트,agitpunkt
아치,arch
아카데미,academy
아카시아,acacia
아코디언,accordion
아크릴,acrylic
아토피,atopy
아트홀,art hall
아티스트,artist
아파트,apartment
아프가니스탄,Afghanistan
아프리카,Africa
악센트,accent
안단티노,andantino
안테나,antenna
알라,Allah
알레르기,Allergie
알로에,aloe
알루미늄,aluminium
알리바이,alibi
알바니아,Albania
알제리,Algrie
알칼리,alkali
알코올,alcohol
알토,alto
알파벳,alphabet
암모니아,ammonia
앙고라,Angora
앙골라,Angola
앙상블,ensemble
앙케트,enqute
앙코르,encore
애니메이션,animation
애프터서비스,after service
액세서리,accessory
액셀,accelerator
액션,action
앨범,album
앰뷸런스,ambulance
앵커,anchor
야드,yard
